alpha,phi,h
0.000490,899.854860,90.224820
0.000660,899.727130,90.210430
0.000310,899.864630,90.188550
0.000970,899.750850,90.164430
0.000770,899.870890,90.209670
0.000400,899.793710,90.181090
0.000970,899.801270,90.233210
0.000830,899.888500,90.227560
0.000870,899.895350,90.186550
0.000910,899.845910,90.176000
0.000610,899.885380,90.167090
0.000320,899.792090,90.159860
0.000450,899.804420,90.150980
0.000300,899.720420,90.205510
0.000700,899.823160,90.153640
0.000820,899.822950,90.152900
0.000940,899.706400,90.242300
0.001000,899.782570,90.203360
0.000610,899.743290,90.155400
0.000650,899.803840,90.163450
0.000770,899.726720,90.154620
0.000480,899.742820,90.186160
0.000950,899.779110,90.199280
0.000930,899.764420,90.238480
0.000790,899.718850,90.249910
0.000420,899.809000,90.228320
0.000480,899.722150,90.152250
0.000460,899.840110,90.160990
0.000520,899.851350,90.169730
0.000370,899.818570,90.153490
0.000940,899.713910,90.218410
0.000500,899.876270,90.175200
0.000570,899.846250,90.168900
0.000920,899.760950,90.154980
0.000620,899.842130,90.167810
0.000740,899.853970,90.233450
0.000350,899.807940,90.154620
0.000880,899.865780,90.247870
0.000800,899.760600,90.210960
0.000820,899.878360,90.155410
0.000980,899.755700,90.195320
0.000760,899.883310,90.189970
0.000460,899.799870,90.153790
0.000790,899.790740,90.204770
0.000960,899.743380,90.163820
0.000360,899.739720,90.152930
0.000910,899.857700,90.150430
0.000420,899.783370,90.241970
0.000860,899.822040,90.208970
0.000670,899.827300,90.247030
0.000510,899.726500,90.214120
0.000850,899.721150,90.170150
0.000770,899.856150,90.184740
0.000830,899.780430,90.153010
0.000620,899.847720,90.220970
0.000530,899.806990,90.213710
0.000760,899.824360,90.197970
0.000910,899.807890,90.228830
0.000650,899.750760,90.196550
0.000710,899.847350,90.171420
